errandIdx,requesterIdx,executorIdx,errandTitle,errandContent,startStationIdx,arrivalStationIdx,deadlineDt,stationDistance,itemPrice,errandPrice,errandStatus
7,3,2,떡볶이 사다주세요,동대문 엽기떡볶이 본점에서 떡볶이 하나(매운맛)사다주세요,동대문,일산,2017-06-18 12:00:00.000,40000,28000,4000,취소완료
32,2,3,닭한마리 사다주세요,동대문 진옥화할머니 닭한마리 집에서 2인분 사다주세요,동대문,부천,2017-06-18 11:00:00.000,48000,40000,10000,취소완료
3,3,2,닭강정사다주세요,동인천역 신포시장에서 신포닭강정 매운맛으로 사다주세요,동인천,건대입구,2017-06-17 18:00:00.000,60000,16000,5000,심부름완료
11,4,1,쫄면 사다주세요,신포우리만두 본점에서 쫄면 10인분 사다주세요,동인천,강남,2017-06-17 13:00:00.000,60000,50000,10000,심부름완료
16,1,4,소고기 사다주세요,마장동 철길집에서 등심 투플러스로 십만원어치 가져다주세요,마장,도봉,2017-06-18 18:00:00.000,60000,100000,10000,심부름완료
23,1,4,만두 사다주세요,명동에있는 명동교자에서 만두 두판 사다주세요,명동,송내,2017-06-18 18:00:00.000,65000,20000,5000,심부름완료
29,3,,운동화 사다주세요,명동 롯데백화점 나이키에서 파는 코르테즈 사다주세요,명동,인덕원,2017-06-21 15:20:00.000,65000,90000,5000,매칭대기중
19,1,4,분유 사다주세요,일동후디스 프리미엄 산양분유 1단계(800g) 3캔 사다주세요,사가정,중곡,2017-06-18 18:00:00.000,10000,120000,5000,심부름완료
30,4,1,새우튀김 사다주세요,소래포구 앞에서 파는 새우튀김 사다주세요,소래포구,인천논현,2017-06-20 18:00:00.000,15000,10000,3000,심부름완료
1,1,,매운닭발사다주세요,송내역 앞 호미닭발에서 무뼈닭발세트 사다주세요.(매운맛),송내,노원,2017-06-21 15:20:00.000,65000,26000,5000,매칭대기중
39,1,,치킨 사다주세요,"둘리거리에 있는 호치킨에서 후라이드1, 양념1 사다주세요",송내,송내,2017-06-21 16:40:00.000,0,18900,3000,매칭대기중
28,2,3,가방 사다주세요,수원 AK 백화점에서 타임세일하는 크로스백 사다주세요,수원,금정,2017-06-20 18:00:00.000,35000,120000,10000,심부름완료
46,4,,통닭사다주세요,"수원 통닭골목에 있는 진미통닭에서 후라이드1, 양념1 사다주세요",수원,금정,2017-06-21 16:40:00.000,35000,31000,5000,매칭대기중
31,1,,출석체크 해주세요,숭실대 경영학과 인데 내일 1교시 출석체크 좀 해주세요 (503호),숭실대입구,숭실대입구,2017-06-21 16:00:00.000,0,,3000,매칭대기중
40,2,3,샐러드 6팩 사다주세요,역 앞에 있는 파리바게트에서 닭가슴살 샐러드 6팩 법학과 과사무실로 사다주세요,숭실대입구,숭실대입구,2017-06-20 18:00:00.000,0,36000,4000,심부름완료
27,1,4,케익 사다주세요,수제케익이라 오늘까지 받아야 합니다. 제가 직접 갈수없어 부탁드려요,압구정,한남,2017-06-18 19:00:00.000,35000,4000,10000,심부름완료
25,3,2,짜장떡볶이 사다주세요,약수역에 있는 짜장떡볶이 3인분 사다주세요,약수,충무로,2017-06-18 19:00:00.000,23000,12000,5000,심부름완료
21,3,2,곱창볶음 사다주세요,왕십리역 앞에 있는 제일곱창에서 순대곱창볶음 4인분 사다주세요,왕십리,성수,20:00,60000,36000,7000,진행중
47,1,4,장어구이 사다주세요,운길산 역 앞에있는 장어집에서 2kg 구워서 포장해주세요,운길산,팔당,2017-06-18 19:00:00.000,35000,100000,10000,심부름완료
15,1,,부대찌개 사다주세요,의정부 오뎅식당에서 부대찌개 2인분 사다주세요,의정부,광운대,2017-06-21 19:20:00.000,35000,14000,5000,진행중
41,3,2,피규어 우유 사다주세요,GS25 편의점에서 파는 무민피규어 우유(초코맛) 6개 사다주세요,이대,이대,2017-06-21 14:40:00.000,0,12000,3000,매칭대기중
24,2,3,내장파괴버거 사다주세요,이태원에 있는 자코비버거에서 내장파괴버거 하나 포장해다주세요,이태원,한남,2017-06-19 15:40:00.000,35000,29000,5000,취소완료
35,1,4,대만 누가 크래커 사다주세요,혹시 대만 여행가시는 분 있으시면 미미누가크래커 사다주세요. 제가 공항도착시간 맞춰서 공항으로 가겠습니다.,인천국제공항,인천국제공항,2017-06-20 17:20:00.000,0,15000,10000,취소완료
37,3,2,화장품 사다주세요,면세점 가실분 에스티로더 나이트케어에센스(갈색병) 50ml 사다주세요,인천국제공항,부평구청,2017-06-17 18:00:00.000,50000,120000,10000,취소완료
22,4,1,한약 가져다주세요,제기동 장수한의원에서 한약 좀 배달 부탁드려요,제기동,서울,2017-06-17 18:00:00.000,30000,,10000,취소완료
36,2,3,빈대떡 사다주세요,광장시장 순희네 빈대떡 집에서 녹두빈대떡 5장 사다주세요,종로5가,주안,2017-06-17 20:40:00.000,30000,20000,5000,취소완료
6,2,3,오징어볶음 사다주세요,팔당에서 유명한 오징어볶음 2인분 사다주세요,팔당,창동,2017-06-21 23:20:00.000,35000,26000,10000,진행중
4,4,1,떡볶이 사다주세요,홍대에 있는 조폭떡볶이 3인분이랑 순대 2인분 사다주세요,홍대입구,삼성,2017-06-21 23:20:00.000,50000,20000,5000,진행중
43,1,4,디자인 붓 사다주세요,이가박 단아미 디자인붓 series 948-7호 1타 사다주세요,홍대입구,홍대입구,2017-06-21 22:30:00.000,50000,65000,3000,진행중
48,2,,참치회 사다주세요,홍대에 있는 참치박사에서 기본 2인 포장해주세요,홍대입구,양천구청,2017-06-21 17:20:00.000,45000,56000,6000,매칭대기중
